## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 -9.7993, -47.2559, -139.438, 148.188, 19.9153, 40.8548, -33.5021, 56.6144
 -62.4666, -39.0305, -10.8614, 76.5877, 37.6687, 24.4244, -94.7718, 105.004
 55.4755, 12.8296, 156.92, 167.103, -40.7139, -13.6571, -76.2808, 87.9152
 -3.72603, 43.4385, 97.1241, 106.714, 11.8608, -41.5188, 268.819, 272.425
 -15.6966, -76.5592, -44.0887, 89.8909, 11.4117, 70.3059, -92.6511, 117.466
 50.9637, 12.9223, -35.1097, 64.1991, -44.5956, -11.513, -19.9817, 50.4616
 -64.5454, 9.95305, 211.533, 221.557, 36.1006, -40.3782, -119.546, 132.393
 17.1028, 72.2586, -249.686, 260.696, -7.5469, -55.1393, -547.097, 550.043
 86.4449, 10.0376, 481.818, 489.906, -85.5821, -12.989, 75.7519, 115.894
 -44.9031, -59.3978, -29.3436, 80.88, 34.8994, 24.8293, -20.2992, 48.2148
 76.9848, 3.58091, 309.585, 319.136, -67.2142, -5.32858, 128.116, 145.161
 32.9066, 55.1848, 194.149, 204.88, -23.0271, -28.5219, -128.1, 133.509
 12.5433, 55.0569, -16.9137, 59.3769, 14.6048, -28.0259, 46.5819, 56.5132
 7.79149, -54.4926, -555.703, 558.552, 14.1139, 46.2349, -191.638, 197.804
 -47.3822, -25.097, 61.9575, 83.0898, 39.864, 14.1666, -14.0108, 45.5456
 -22.872, -75.2224, -200.276, 215.307, 4.68537, 56.9492, 42.8011, 72.0658
 24.4162, 84.8518, 62.4166, 109.942, -9.26069, -44.4543, -83.2213, 95.7926
 51.1245, -47.2665, -110.151, 131.507, -38.6147, 35.5529, -53.2394, 75.1746
 -59.383, -27.1141, 95.583, 115.938, 28.1245, 4.69224, -21.0959, 36.0339
 5.18413, 55.3969, 68.7598, 88.7694, 19.5272, -41.4736, 186.09, 192.034
 46.9988, -57.3079, 227.119, 239.069, -45.7059, 44.8525, 385.404, 390.946
 -32.1443, 52.6151, 5.36195, 62.4714, 25.4418, -49.4261, -71.4495, 90.7309
 -39.4817, -44.0468, 420.286, 424.577, 23.0975, 39.892, 266.695, 271.092
 -38.9925, -45.1184, 31.0245, 67.9936, 38.9808, 41.9148, -31.1634, 65.6311
 67.8865, 200.994, -172.522, 278.814, -38.0311, -146.479, 234.416, 280.499
 -36.0929, -49.5832, -184.199, 194.476, 27.0711, 47.9115, -82.4478, 99.3209
 6.34967, -61.4143, -860.9, 863.185, 6.71027, 40.537, -77.1585, 87.7506
 9.29468, -51.8161, -58.5929, 79.4727, -21.9438, 44.5189, 12.1185, 52.1304
 4.33486, -40.1051, 298.143, 301.125, 14.0411, 36.9309, 820.801, 821.846
 -42.4416, -26.7133, 869.805, 871.268, 48.4766, 11.8999, 124.621, 135.177
 -65.0486, 35.6975, 42.2692, 87.0218, 35.8748, -31.1003, -21.5101, 54.0777
 97.3765, 29.5493, 1401.6, 1405.38, -84.1637, -44.9244, 104.421, 141.973
 -11.8517, -44.9261, -857.101, 858.376, 15.3435, 36.8906, -40.6672, 58.1204
 78.4407, 6.60695, -155.787, 175.874, -60.016, -5.14314, -105.971, 122.236
 64.0478, 27.7622, 306.357, 314.48, -50.5756, -25.3519, -240.864, 247.624
 166.268, 37.0898, -30.3235, 173.587, -115.8, -13.3783, -83.8957, 143.657
 -81.3535, -27.5229, 393.36, 402.914, 78.0308, 16.8317, 27.322, 85.989
 -46.1384, 25.8983, 310.302, 314.913, 34.6764, -28.1135, -176.393, 182.38
 71.9402, -15.921, 107.833, 131.165, -34.6315, 26.766, 35.6373, 58.1059
 -64.9558, -7.84319, -966.23, 968.802, 38.9536, 1.77613, 7.86521, 41.0459
 -33.899, -20.1482, -56.6757, 69.7427, 23.6985, 7.68713, 21.1858, 33.2872
 32.1105, 40.8968, -251.748, 257.286, -31.6388, -36.2631, -811.206, 812.739
 -11.7584, 77.8245, -131.338, 153.436, 55.7977, -42.8258, 554.112, 558.761
 90.0175, -30.0381, -206.117, 227.076, -42.6393, 29.271, -689.468, 691.461
